"Search Statistics","Suchstatistik"
"From","Von"
"To","Bis"
"Apply","Anwenden"
"Data may be delayed up to 48 hours due to GA4 processing.","Daten können aufgrund der GA4-Verarbeitung bis zu 48 Stunden verzögert sein."
"Top Search Terms","Top-Suchbegriffe"
"View all","Alle anzeigen"
"Search Term","Suchbegriff"
"Count","Anzahl"
"No data available.","Keine Daten verfügbar."
"Top Zero-Result Searches","Top-Suchen ohne Ergebnisse"
"Zero-Result Searches","Suchen ohne Ergebnisse"
"Back to Statistics Dashboard","Zurück zum Statistik-Dashboard"
"Store","Shop"
"Locale","Sprachraum"
"Min. occurrences","Min. Vorkommen"
"Search Terms","Suchbegriffe"
"All Search Terms","Alle Suchbegriffe"
"Custom range","Benutzerdefinierter Zeitraum"
"All stores","Alle Shops"
"All locales","Alle Sprachräume"
"Last Occurred","Zuletzt aufgetreten"
"Measurement ID is required when GA4 tracking is enabled.","Measurement-ID ist erforderlich, wenn GA4-Tracking aktiviert ist."
"Service account credentials must be a valid JSON object.","Die Dienstkonto-Anmeldedaten müssen ein gültiges JSON-Objekt sein."
"Property ID is required when service account credentials JSON is set.","Die Property-ID ist erforderlich, wenn die Dienstkonto-Anmeldedaten JSON gesetzt sind."
"Service account credentials JSON is required when Property ID is set.","Die Dienstkonto-Anmeldedaten JSON sind erforderlich, wenn die Property-ID gesetzt ist."
